sbj speed density distance duration resp
1.000000 10.000000 1.000000 210.000000 35.000000 1.150882
1.000000 20.000000 1.000000 210.000000 35.000000 0.797931
1.000000 10.000000 1.000000 210.000000 70.000000 0.728786
1.000000 20.000000 1.000000 210.000000 70.000000 0.399811
1.000000 10.000000 1.000000 230.000000 35.000000 1.177990
1.000000 20.000000 1.000000 230.000000 35.000000 0.821334
1.000000 10.000000 1.000000 230.000000 70.000000 0.616496
1.000000 20.000000 1.000000 230.000000 70.000000 0.563131
1.000000 10.000000 1.000000 250.000000 35.000000 1.237744
1.000000 20.000000 1.000000 250.000000 35.000000 0.940199
1.000000 10.000000 1.000000 250.000000 70.000000 0.820063
1.000000 20.000000 1.000000 250.000000 70.000000 0.645164
1.000000 10.000000 10.000000 210.000000 35.000000 1.166739
1.000000 20.000000 10.000000 210.000000 35.000000 0.679809
1.000000 10.000000 10.000000 210.000000 70.000000 0.807733
1.000000 20.000000 10.000000 210.000000 70.000000 0.443170
1.000000 10.000000 10.000000 230.000000 35.000000 1.067862
1.000000 20.000000 10.000000 230.000000 35.000000 0.783962
1.000000 10.000000 10.000000 230.000000 70.000000 0.793824
1.000000 20.000000 10.000000 230.000000 70.000000 0.513868
1.000000 10.000000 10.000000 250.000000 35.000000 1.101977
1.000000 20.000000 10.000000 250.000000 35.000000 0.812735
1.000000 10.000000 10.000000 250.000000 70.000000 0.777882
1.000000 20.000000 10.000000 250.000000 70.000000 0.583599
1.000000 10.000000 20.000000 210.000000 35.000000 1.067495
1.000000 20.000000 20.000000 210.000000 35.000000 0.796434
1.000000 10.000000 20.000000 210.000000 70.000000 0.737494
1.000000 20.000000 20.000000 210.000000 70.000000 0.303167
1.000000 10.000000 20.000000 230.000000 35.000000 1.172396
1.000000 20.000000 20.000000 230.000000 35.000000 0.769725
1.000000 10.000000 20.000000 230.000000 70.000000 0.763732
1.000000 20.000000 20.000000 230.000000 70.000000 0.499678
1.000000 10.000000 20.000000 250.000000 35.000000 1.231372
1.000000 20.000000 20.000000 250.000000 35.000000 0.939410
1.000000 10.000000 20.000000 250.000000 70.000000 0.786132
1.000000 20.000000 20.000000 250.000000 70.000000 0.592932
1.000000 10.000000 99.000000 210.000000 35.000000 1.101433
1.000000 20.000000 99.000000 210.000000 35.000000 0.728862
1.000000 10.000000 99.000000 210.000000 70.000000 0.701977
1.000000 20.000000 99.000000 210.000000 70.000000 0.464730
1.000000 10.000000 99.000000 230.000000 35.000000 1.076699
1.000000 20.000000 99.000000 230.000000 35.000000 0.816005
1.000000 10.000000 99.000000 230.000000 70.000000 0.656579
1.000000 20.000000 99.000000 230.000000 70.000000 0.607985
1.000000 10.000000 99.000000 250.000000 35.000000 1.100164
1.000000 20.000000 99.000000 250.000000 35.000000 0.860379
1.000000 10.000000 99.000000 250.000000 70.000000 0.770937
1.000000 20.000000 99.000000 250.000000 70.000000 0.631907
2.000000 10.000000 1.000000 210.000000 35.000000 0.918655
2.000000 20.000000 1.000000 210.000000 35.000000 0.725674
2.000000 10.000000 1.000000 210.000000 70.000000 0.754906
2.000000 20.000000 1.000000 210.000000 70.000000 0.627207
2.000000 10.000000 1.000000 230.000000 35.000000 1.141898
2.000000 20.000000 1.000000 230.000000 35.000000 1.101731
2.000000 10.000000 1.000000 230.000000 70.000000 0.836687
2.000000 20.000000 1.000000 230.000000 70.000000 0.710168
2.000000 10.000000 1.000000 250.000000 35.000000 0.993907
2.000000 20.000000 1.000000 250.000000 35.000000 0.854083
2.000000 10.000000 1.000000 250.000000 70.000000 0.783928
2.000000 20.000000 1.000000 250.000000 70.000000 0.750908
2.000000 10.000000 10.000000 210.000000 35.000000 0.876501
2.000000 20.000000 10.000000 210.000000 35.000000 0.866468
2.000000 10.000000 10.000000 210.000000 70.000000 0.641693
2.000000 20.000000 10.000000 210.000000 70.000000 0.558630
2.000000 10.000000 10.000000 230.000000 35.000000 1.015030
2.000000 20.000000 10.000000 230.000000 35.000000 0.909268
2.000000 10.000000 10.000000 230.000000 70.000000 0.801026
2.000000 20.000000 10.000000 230.000000 70.000000 0.684681
2.000000 10.000000 10.000000 250.000000 35.000000 1.158941
2.000000 20.000000 10.000000 250.000000 35.000000 1.025328
2.000000 10.000000 10.000000 250.000000 70.000000 0.891096
2.000000 20.000000 10.000000 250.000000 70.000000 0.904334
2.000000 10.000000 20.000000 210.000000 35.000000 1.042787
2.000000 20.000000 20.000000 210.000000 35.000000 0.866269
2.000000 10.000000 20.000000 210.000000 70.000000 0.846406
2.000000 20.000000 20.000000 210.000000 70.000000 0.609881
2.000000 10.000000 20.000000 230.000000 35.000000 0.911658
2.000000 20.000000 20.000000 230.000000 35.000000 0.961060
2.000000 10.000000 20.000000 230.000000 70.000000 0.794430
2.000000 20.000000 20.000000 230.000000 70.000000 0.583796
2.000000 10.000000 20.000000 250.000000 35.000000 1.171913
2.000000 20.000000 20.000000 250.000000 35.000000 1.138689
2.000000 10.000000 20.000000 250.000000 70.000000 0.847846
2.000000 20.000000 20.000000 250.000000 70.000000 0.681094
2.000000 10.000000 99.000000 210.000000 35.000000 0.906674
2.000000 20.000000 99.000000 210.000000 35.000000 0.957073
2.000000 10.000000 99.000000 210.000000 70.000000 0.635778
2.000000 20.000000 99.000000 210.000000 70.000000 0.546201
2.000000 10.000000 99.000000 230.000000 35.000000 1.168194
2.000000 20.000000 99.000000 230.000000 35.000000 0.945528
2.000000 10.000000 99.000000 230.000000 70.000000 0.773745
2.000000 20.000000 99.000000 230.000000 70.000000 0.548085
2.000000 10.000000 99.000000 250.000000 35.000000 1.203867
2.000000 20.000000 99.000000 250.000000 35.000000 0.896987
2.000000 10.000000 99.000000 250.000000 70.000000 0.936232
2.000000 20.000000 99.000000 250.000000 70.000000 0.693657
3.000000 10.000000 1.000000 210.000000 35.000000 3.451371
3.000000 20.000000 1.000000 210.000000 35.000000 2.933220
3.000000 10.000000 1.000000 210.000000 70.000000 1.628243
3.000000 20.000000 1.000000 210.000000 70.000000 0.697900
3.000000 10.000000 1.000000 230.000000 35.000000 3.711108
3.000000 20.000000 1.000000 230.000000 35.000000 1.876163
3.000000 10.000000 1.000000 230.000000 70.000000 1.733704
3.000000 20.000000 1.000000 230.000000 70.000000 0.827479
3.000000 10.000000 1.000000 250.000000 35.000000 5.736149
